Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/02/2018,"POS DEBIT                USPS PO 40187205 311 SW   CORVALLIS    OR",-6.70,MISC_DEBIT, ,,
DEBIT,03/02/2018,"POS DEBIT                PITA PIT - 00-009         CORVALLIS    OR",-5.00,MISC_DEBIT, ,,
DEBIT,03/02/2018,"POS DEBIT                Subway Restaurant        CORVALLIS     OR",-4.99,MISC_DEBIT, ,,
DEBIT,03/01/2018,"SUBWAY        03035730 CORVALLIS OR          02/28",-6.00,DEBIT_CARD,1605.00,,
DEBIT,02/28/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/28",-475.79,DEBIT_CARD,1611.00,,
DEBIT,02/28/2018,"SUBWAY        03035730 CORVALLIS OR          02/27",-5.99,DEBIT_CARD,2086.79,,
CREDIT,02/28/2018,"OSU PAYROLL      PR DEPOSIT                 PPD ID: 9300058016",1590.20,ACH_CREDIT,2092.78,,
DEBIT,02/27/2018,"SUBWAY        03035730 CORVALLIS OR          02/26",-5.99,DEBIT_CARD,502.58,,
DEBIT,02/26/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/26",-4.48,DEBIT_CARD,508.57,,
DEBIT,02/26/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/25",-21.39,DEBIT_CARD,513.05,,
DEBIT,02/26/2018,"SQ *THE BEAVER HUT Corvallis OR              02/25",-9.75,DEBIT_CARD,534.44,,
DEBIT,02/26/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/25",-5.97,DEBIT_CARD,544.19,,
DEBIT,02/26/2018,"CARL'S JR 7680 CORVALLIS OR                  02/24",-5.00,DEBIT_CARD,550.16,,
DEBIT,02/26/2018,"SUBWAY        03035730 CORVALLIS OR          02/24",-4.99,DEBIT_CARD,555.16,,
DEBIT,02/26/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/24",-9.48,DEBIT_CARD,560.15,,
DEBIT,02/26/2018,"PITA PIT - 00-009 CORVALLIS OR               02/23",-5.00,DEBIT_CARD,569.63,,
DEBIT,02/23/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          02/22",-1.75,DEBIT_CARD,574.63,,
DEBIT,02/23/2018,"SUBWAY        03035730 CORVALLIS OR          02/22",-4.99,DEBIT_CARD,576.38,,
DEBIT,02/23/2018,"Monroe International Ma Corvallis OR         02/21",-6.99,DEBIT_CARD,581.37,,
DEBIT,02/22/2018,"FRED-MEYER #0070 FRED CORVALLIS OR   235054  02/21",-1.50,DEBIT_CARD,588.36,,
CREDIT,02/22/2018,"ATM CASH DEPOSIT 02/21 777 NW KINGS BLVD CORVALLIS OR",160.00,ATM,589.86,,
DEBIT,02/21/2018,"SUBWAY        03035730 CORVALLIS OR          02/20",-4.99,DEBIT_CARD,429.86,,
DEBIT,02/20/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/20 Purchase $24.87 Cash Back $40.00",-64.87,DEBIT_CARD,434.85,,
DEBIT,02/20/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/19",-7.21,DEBIT_CARD,499.72,,
DEBIT,02/20/2018,"SUBWAY        03035730 CORVALLIS OR          02/19",-5.99,DEBIT_CARD,506.93,,
DEBIT,02/20/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/18",-11.27,DEBIT_CARD,512.92,,
DEBIT,02/20/2018,"FRED-MEYER #0070 FRED CORVALLIS OR   647720  02/17",-1.50,DEBIT_CARD,524.19,,
DEBIT,02/20/2018,"Monroe International Ma Corvallis OR         02/17",-5.98,DEBIT_CARD,525.69,,
DEBIT,02/20/2018,"SQ *DEATH BY DONUTZ Corvallis OR             02/17",-3.50,DEBIT_CARD,531.67,,
DEBIT,02/20/2018,"NEW CHINA BUFFET CORVALLIS OR                02/17",-13.99,DEBIT_CARD,535.17,,
DEBIT,02/20/2018,"OVERLEAF WRITELATEXLTD 8778877815            02/14",-7.50,DEBIT_CARD,549.16,,
CREDIT,02/20/2018,"ATM CASH DEPOSIT 02/17 777 NW KINGS BLVD CORVALLIS OR",300.00,ATM,556.66,,
DEBIT,02/16/2018,"AMAZON.COM SERVI INTERNET   091000014617256 WEB ID: 9049016352",-609.98,ACH_DEBIT,256.66,,
DEBIT,02/16/2018,"SUBWAY        03035730 CORVALLIS OR          02/15",-4.99,DEBIT_CARD,866.64,,
DEBIT,02/15/2018,"PAYPAL           INST XFER  NEWEGGCOM       WEB ID: PAYPALSI77",-18.59,ACH_DEBIT,871.63,,
DEBIT,02/15/2018,"3102PEPSIVEN9147678600 CORVALLIS OR          02/14",-1.75,DEBIT_CARD,890.22,,
DEBIT,02/15/2018,"SUBWAY        03035730 CORVALLIS OR          02/14",-4.99,DEBIT_CARD,891.97,,
DEBIT,02/14/2018,"PAYPAL           INST XFER  NEWEGGCOM       WEB ID: PAYPALSI77",-34.39,ACH_DEBIT,896.96,,
DEBIT,02/14/2018,"FRED-MEYER #0070 FRED CORVALLIS OR   617481  02/14",-2.50,DEBIT_CARD,931.35,,
DEBIT,02/14/2018,"FRED-MEYER #0070 FRED CORVALLIS OR   027864  02/13",-2.50,DEBIT_CARD,933.85,,
DEBIT,02/14/2018,"SUBWAY        03035730 CORVALLIS OR          02/13",-5.99,DEBIT_CARD,936.35,,
DEBIT,02/13/2018,"FRED-MEYE FRED MEYER 0 CORVALLIS OR          02/12",-4.09,DEBIT_CARD,942.34,,
DEBIT,02/13/2018,"SUBWAY        03035730 CORVALLIS OR          02/12",-5.99,DEBIT_CARD,946.43,,
DEBIT,02/12/2018,"SUBWAY        03035730 CORVALLIS OR          02/11",-4.99,DEBIT_CARD,952.42,,
